"Day ","Location ","Product ","Unit Sold ","Revenue ","COGS "
"14","Los Angeles","Body Wash  ","1778","97790","24442.00"
"14","Los Angeles","Shampoo","1547","74256","23710.00"
"14","New York","Mouthwash","2474","136070","30301.00"
"14","New York","Body Wash  ","1625","97500","22339.00"
"14","New York","Shampoo","1821","118365","27909.00"
"13","Los Angeles","Mouthwash","2099","104950","25708.00"
"13","Los Angeles","Body Wash  ","1736","95480","23864.00"
"13","Los Angeles","Shampoo","2898","139104","44416.00"
"13","New York","Body Wash  ","1488","89280","20455.00"
"13","New York","Shampoo","1702","110630","26086.00"
"12","Los Angeles","Mouthwash","2777","111080","34013.00"
"12","Los Angeles","Body Wash  ","2234","100530","30710.00"
"12","Los Angeles","Shampoo","3544","148848","54317.00"
"12","New York","Mouthwash","628","28260","7692.00"
"12","New York","Body Wash  ","1892","94600","26009.00"
"12","New York","Shampoo","1982","109010","30377.00"
"11","Los Angeles","Mouthwash","2814","112560","34466.00"
"11","Los Angeles","Body Wash  ","2310","103950","31755.00"
"11","Los Angeles","Shampoo","3070","128940","47052.00"
"11","New York","Mouthwash","3115","140175","38152.00"
"11","New York","Body Wash  ","1930","96500","26531.00"
"11","New York","Shampoo","1888","103840","28936.00"
"10","Los Angeles","Mouthwash","2838","113520","39844.00"
"10","Los Angeles","Body Wash  ","2218","99810","31235.00"
"10","Los Angeles","Shampoo","2862","120204","45050.00"
"10","New York","Mouthwash","3261","146745","45783.00"
"10","New York","Body Wash  ","1868","93400","26306.00"
"10","New York","Shampoo","1799","98945","28317.00"
"9","Los Angeles","Mouthwash","639","25560","8971.00"
"9","Los Angeles","Body Wash  ","493","22185","6943.00"
"9","Los Angeles","Shampoo","1065","44730","16764.00"
"9","New York","Mouthwash","657","29565","9224.00"
"9","New York","Body Wash  ","392","19600","5520.00"
"9","New York","Shampoo","671","36905","10562.00"
"8","Los Angeles","Mouthwash","696","27840","9772.00"
"8","Los Angeles","Body Wash  ","561","25245","7900.00"
"8","Los Angeles","Shampoo","1164","48888","18322.00"
"8","New York","Mouthwash","619","27855","8691.00"
"8","New York","Body Wash  ","402","20100","5661.00"
"8","New York","Shampoo","603","33165","9492.00"
"7","Los Angeles","Mouthwash","638","25520","8957.00"
"7","Los Angeles","Body Wash  ","550","24750","7745.00"
"7","Los Angeles","Shampoo","819","40950","12892.00"
"7","New York","Mouthwash","684","30780","9603.00"
"7","New York","Body Wash  ","379","18950","5337.00"
"7","New York","Shampoo","679","37345","10688.00"
"6","Los Angeles","Mouthwash","614","24560","8620.00"
"6","Los Angeles","Body Wash  ","546","24570","7689.00"
"6","Los Angeles","Shampoo","902","45100","14198.00"
"6","New York","Mouthwash","618","27810","8676.00"
"6","New York","Body Wash  ","387","19350","5450.00"
"6","New York","Shampoo","617","33935","9712.00"
"5","Los Angeles","Mouthwash","686","27440","9631.00"
"5","Los Angeles","Body Wash  ","530","23850","7464.00"
"5","Los Angeles","Shampoo","868","43400","13663.00"
"5","New York","Mouthwash","642","28890","9013.00"
"5","New York","Body Wash  ","348","17400","4901.00"
"5","New York","Shampoo","565","31075","8893.00"
"4","Los Angeles","Mouthwash","1026","26676","14405.00"
"4","Los Angeles","Body Wash  ","919","26651","12942.00"
"4","Los Angeles","Shampoo","1261","39091","19849.00"
"4","New York","Mouthwash","1013","26338","14222.00"
"4","New York","Body Wash  ","644","18676","9069.00"
"4","New York","Shampoo","901","27931","14182.00"
"3","New York","Mouthwash","763","19838","11445.00"
"3","New York","Body Wash  ","496","14384","8432.00"
"3","New York","Shampoo","439","13609","8341.00"
